size,totalTime,partitionTime,distributionTime,stepTime,collectingRemoteTime,detectionTime,exchangingCommunitiesTime,collectingMissingTime,coarsenTime,foundCommunities,fileName,totalNodes,totalEdges
4,0.427592,0.0373776,0.00294495,0.385672,0.291564,0.0452092,0.00489163,0.0278847,0.00694036,1225,Wiki-Vote.txt,7115,103689
4,0.398385,0.0372672,0.00273085,0.356816,0.284425,0.0396798,0.0031426,0.0182762,0.0050869,1233,Wiki-Vote.txt,7115,103689
4,0.431067,0.0387385,0.00269318,0.38489,0.28965,0.0452218,0.00497246,0.0286806,0.00722098,1229,Wiki-Vote.txt,7115,103689
4,0.436852,0.0370879,0.00259566,0.392833,0.292217,0.0464971,0.00570822,0.0309367,0.00761199,1230,Wiki-Vote.txt,7115,103689
8,0.20566,0.0366211,0.00326228,0.164824,0.113294,0.0123887,0.00733328,0.0188713,0.00427651,1240,Wiki-Vote.txt,7115,103689
8,0.193158,0.0375614,0.00317121,0.151343,0.110869,0.0113018,0.00449252,0.0150442,0.00288725,1232,Wiki-Vote.txt,7115,103689
8,0.196697,0.0382805,0.00312424,0.153998,0.113548,0.0111625,0.00491953,0.0149879,0.00283337,1236,Wiki-Vote.txt,7115,103689
8,0.189573,0.038955,0.00339413,0.146115,0.108656,0.0114715,0.00380945,0.0128202,0.00283837,1230,Wiki-Vote.txt,7115,103689
8,0.190262,0.0395439,0.00322199,0.145985,0.110658,0.0109971,0.00377703,0.011894,0.00253916,1234,Wiki-Vote.txt,7115,103689
16,0.155902,0.044322,0.00398302,0.1016,0.061734,0.00368905,0.0105755,0.0153174,0.00182772,1233,Wiki-Vote.txt,7115,103689
16,0.133977,0.0403035,0.00392842,0.0887678,0.0575626,0.00335908,0.00758576,0.0118449,0.00161242,1237,Wiki-Vote.txt,7115,103689
16,0.129428,0.0398378,0.00391459,0.0838861,0.0576627,0.00312924,0.00606084,0.00994277,0.00146389,1246,Wiki-Vote.txt,7115,103689
16,0.130672,0.0401685,0.00400066,0.0857778,0.0573945,0.00333285,0.00653362,0.0107944,0.0015347,1239,Wiki-Vote.txt,7115,103689
16,0.141097,0.0403843,0.00398731,0.0958402,0.0608108,0.00361466,0.00866008,0.0134392,0.00182843,1237,Wiki-Vote.txt,7115,103689
32,0.123762,0.0404897,0.00558805,0.0770206,0.0441623,0.0011754,0.012063,0.0124564,0.000785112,1235,Wiki-Vote.txt,7115,103689
32,0.132263,0.041043,0.00534391,0.0844345,0.0460327,0.00122356,0.0146332,0.0146556,0.000795364,1234,Wiki-Vote.txt,7115,103689
32,0.133568,0.0419714,0.00544906,0.0841627,0.0463753,0.00128102,0.0144327,0.0141265,0.000886202,1245,Wiki-Vote.txt,7115,103689
32,0.120092,0.0407293,0.00525856,0.0732646,0.0428305,0.00117302,0.010911,0.0114419,0.000799179,1237,Wiki-Vote.txt,7115,103689
32,0.127008,0.0409789,0.00533819,0.0800436,0.0446184,0.00116253,0.01335,0.0134945,0.00075531,1231,Wiki-Vote.txt,7115,103689
64,0.201649,0.048141,0.0090034,0.143956,0.0621097,0.000735998,0.0393207,0.0318134,0.000595808,1238,Wiki-Vote.txt,7115,103689
